timestamp,cpu,ram,disco,qtd_processos,mac
2025-10-24_09-37-14,8.6,78.2,55.2,278,276246685787227
2025-10-24_09-37-34,24.3,81.5,55.2,278,276246685787227
2025-10-24_09-37-59,11.9,81.5,55.2,276,276246685787227
2025-10-24_09-38-18,14.9,81.3,55.2,273,276246685787227
2025-10-24_09-38-38,20.6,82.4,55.2,279,276246685787227
2025-10-24_09-39-01,9.0,82.2,55.2,281,276246685787227
2025-10-24_09-35-38,4.2,78.8,55.2,275,276246685787227
2025-10-24_09-35-58,10.6,78.5,55.2,276,276246685787227
2025-10-24_09-36-17,6.3,78.5,55.2,278,276246685787227
2025-10-24_09-36-36,6.7,78.2,55.2,278,276246685787227
2025-10-24_09-36-55,11.0,78.6,55.2,279,276246685787227
2025-10-24_09-37-14,8.6,78.2,55.2,278,276246685787227
2025-10-24_09-37-34,24.3,81.5,55.2,278,276246685787227
2025-10-24_09-37-59,11.9,81.5,55.2,276,276246685787227
2025-10-24_09-38-18,14.9,81.3,55.2,273,276246685787227
2025-10-24_09-38-38,20.6,82.4,55.2,279,276246685787227
2025-10-24_09-39-01,9.0,82.2,55.2,281,276246685787227
2025-10-24_09-39-24,8.6,82.0,55.2,280,276246685787227
2025-10-24_09-35-38,4.2,78.8,55.2,275,276246685787227
2025-10-24_09-35-58,10.6,78.5,55.2,276,276246685787227
2025-10-24_09-36-17,6.3,78.5,55.2,278,276246685787227
2025-10-24_09-36-36,6.7,78.2,55.2,278,276246685787227
2025-10-24_09-36-55,11.0,78.6,55.2,279,276246685787227
2025-10-24_09-37-14,8.6,78.2,55.2,278,276246685787227
2025-10-24_09-37-34,24.3,81.5,55.2,278,276246685787227
2025-10-24_09-37-59,11.9,81.5,55.2,276,276246685787227
2025-10-24_09-38-18,14.9,81.3,55.2,273,276246685787227
2025-10-24_09-38-38,20.6,82.4,55.2,279,276246685787227
2025-10-24_09-39-01,9.0,82.2,55.2,281,276246685787227
2025-10-24_09-39-24,8.6,82.0,55.2,280,276246685787227
2025-10-24_09-39-49,11.4,82.2,55.2,280,276246685787227
2025-10-24_09-35-38,4.2,78.8,55.2,275,276246685787227
2025-10-24_09-35-58,10.6,78.5,55.2,276,276246685787227
2025-10-24_09-36-17,6.3,78.5,55.2,278,276246685787227
2025-10-24_09-36-36,6.7,78.2,55.2,278,276246685787227
2025-10-24_09-36-55,11.0,78.6,55.2,279,276246685787227
2025-10-24_09-37-14,8.6,78.2,55.2,278,276246685787227
2025-10-24_09-37-34,24.3,81.5,55.2,278,276246685787227
2025-10-24_09-37-59,11.9,81.5,55.2,276,276246685787227
2025-10-24_09-38-18,14.9,81.3,55.2,273,276246685787227
2025-10-24_09-38-38,20.6,82.4,55.2,279,276246685787227
2025-10-24_09-39-01,9.0,82.2,55.2,281,276246685787227
2025-10-24_09-39-24,8.6,82.0,55.2,280,276246685787227
2025-10-24_09-39-49,11.4,82.2,55.2,280,276246685787227
2025-10-24_09-40-12,9.0,82.0,55.2,279,276246685787227
2025-10-24_09-35-38,4.2,78.8,55.2,275,276246685787227
2025-10-24_09-35-58,10.6,78.5,55.2,276,276246685787227
2025-10-24_09-36-17,6.3,78.5,55.2,278,276246685787227
2025-10-24_09-36-36,6.7,78.2,55.2,278,276246685787227
2025-10-24_09-36-55,11.0,78.6,55.2,279,276246685787227
2025-10-24_09-37-14,8.6,78.2,55.2,278,276246685787227
2025-10-24_09-37-34,24.3,81.5,55.2,278,276246685787227
2025-10-24_09-37-59,11.9,81.5,55.2,276,276246685787227
2025-10-24_09-38-18,14.9,81.3,55.2,273,276246685787227
2025-10-24_09-38-38,20.6,82.4,55.2,279,276246685787227
2025-10-24_09-39-01,9.0,82.2,55.2,281,276246685787227
2025-10-24_09-39-24,8.6,82.0,55.2,280,276246685787227
2025-10-24_09-39-49,11.4,82.2,55.2,280,276246685787227
2025-10-24_09-40-12,9.0,82.0,55.2,279,276246685787227
2025-10-24_09-40-35,5.8,82.0,55.2,279,276246685787227
2025-10-24_09-40-58,6.1,81.9,55.2,279,276246685787227
2025-10-24_09-40-58,6.1,81.9,55.2,279,276246685787227
2025-10-24_09-41-22,10.9,81.8,55.2,279,276246685787227
2025-10-24_09-40-58,6.1,81.9,55.2,279,276246685787227
2025-10-24_09-41-22,10.9,81.8,55.2,279,276246685787227
2025-10-24_09-41-45,12.9,82.0,55.2,278,276246685787227
2025-10-24_09-40-58,6.1,81.9,55.2,279,276246685787227
2025-10-24_09-41-22,10.9,81.8,55.2,279,276246685787227
2025-10-24_09-41-45,12.9,82.0,55.2,278,276246685787227
2025-10-24_09-42-04,8.6,81.9,55.2,276,276246685787227
